scorer,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000,DLC_resnet50_2023 RtSt KinematicsAug29shuffle1_650000
bodyparts,toe,toe,toe,mtp,mtp,mtp,ankle,ankle,ankle,knee,knee,knee,hip,hip,hip,iliac crest,iliac crest,iliac crest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1188.4869384765625,610.4466552734375,0.9999963045120239,1165.38134765625,607.3003540039062,0.9999885559082031,1105.466796875,590.1718139648438,0.9998692274093628,1181.4896240234375,539.6527709960938,0.999687671661377,1131.245849609375,509.2560729980469,0.9990383386611938,1121.436279296875,466.3958435058594,0.999842643737793
1,1216.6876220703125,611.18994140625,0.9999836683273315,1190.913330078125,607.3548583984375,0.9999974966049194,1129.0003662109375,595.7376098632812,0.9999886751174927,1214.1021728515625,539.6527709960938,0.9993410706520081,1145.4715576171875,509.2560729980469,0.6645828485488892,1131.81591796875,466.3958435058594,0.9995096921920776
2,1249.9678955078125,615.0179443359375,0.9999971389770508,1216.4388427734375,607.46240234375,0.9999914169311523,1154.5721435546875,596.147216796875,0.9999986886978149,1237.328857421875,539.6527709960938,0.9998940229415894,1159.3828125,509.2560729980469,0.9398807883262634,1145.4735107421875,466.3958435058594,0.9779796600341797
3,1271.05224609375,615.0179443359375,0.9999978542327881,1236.0042724609375,610.978515625,0.9999977350234985,1178.283203125,597.3065185546875,0.9999974966049194,1241.6502685546875,539.6527709960938,0.9995585083961487,1181.616943359375,497.9435119628906,0.9379501938819885,1155.7574462890625,459.84564208984375,0.4542396068572998
4,1271.05224609375,627.5739135742188,0.9997981190681458,1236.0042724609375,629.1482543945312,0.9998900890350342,1178.283203125,605.8743896484375,0.9999923706054688,1241.6502685546875,539.6527709960938,0.9994366765022278,1185.109130859375,497.9435119628906,0.9715620875358582,1157.57177734375,459.84564208984375,0.9534019231796265
5,1271.05224609375,634.8699340820312,0.9999656677246094,1236.0042724609375,635.9129028320312,0.9999862909317017,1178.283203125,605.8743896484375,0.9999942779541016,1241.6502685546875,540.8001098632812,0.9997945427894592,1185.109130859375,497.9435119628906,0.9976089000701904,1157.57177734375,459.84564208984375,0.9282774925231934
6,1258.79443359375,637.106201171875,0.9999823570251465,1225.79541015625,637.4553833007812,0.9999827146530151,1166.1611328125,605.8743896484375,0.9999899864196777,1237.1988525390625,547.482421875,0.9999856948852539,1181.616943359375,498.2242126464844,0.9949992895126343,1157.57177734375,467.5333251953125,0.77321457862854
7,1244.09326171875,637.4334106445312,0.9999861717224121,1209.2081298828125,638.8541870117188,0.9999874830245972,1153.44384765625,605.2936401367188,0.9999914169311523,1226.95703125,553.0504150390625,0.9988993406295776,1179.2144775390625,503.7925720214844,0.9902061820030212,1153.5782470703125,470.50421142578125,0.9972763657569885
