bodyparts coords,toe x,toe y,toe likelihood,mtp x,mtp y,mtp likelihood,ankle x,ankle y,ankle likelihood,knee x,knee y,knee likelihood,hip x,hip y,hip likelihood,iliac crest x,iliac crest y,iliac crest likelihood
0,1166.742211213149,611.2624945947001,0.999996304512024,1146.3328704561204,604.9336444118301,0.9999885559082032,1090.4519766723852,586.102522092903,0.9998692274093628,1167.741177661242,539.2768354209965,0.999687671661377,1120.1954091151974,507.7557226530868,0.9990383386611938,1111.8799860929587,465.3777824409993,0.999842643737793
1,1182.518937045493,614.1067868916789,0.9999836683273317,1161.9663995997373,607.074358320268,0.9999974966049194,1109.2137413961273,585.3991456095949,0.9999886751174928,1186.835854582628,541.0057298784312,0.999341070652008,1140.779396700235,507.4793404702175,0.6645828485488892,1131.8221313461484,465.94510941231175,0.9995096921920776
2,1198.763320969252,616.8840981626282,0.9999971389770508,1178.025045518827,609.219885354503,0.9999914169311525,1128.2335725690066,584.7896123449568,0.9999986886978148,1206.1578368882504,542.7170498026309,0.9998940229415894,1161.5108697556234,507.23396878640455,0.9398807883262634,1151.869479006009,466.5252796109958,0.9779796600341796
3,1215.4221554002359,619.5705431989668,0.999997854232788,1194.4633195636088,611.3439711807612,0.9999977350234984,1147.45994609079,584.2705843228903,0.9999974966049194,1225.6565332508294,544.3921770265733,0.9995585083961488,1182.3344448041469,507.0164296592169,0.9379501938819884,1171.9743920140252,467.1073325989734,0.4542396068572998
4,1232.4436096116308,622.1436382301565,0.9997981190681458,1211.236708168761,613.4216940283811,0.9998900890350342,1166.8442603183832,583.8383595994319,0.9999923706054688,1245.284587081056,546.0133898808374,0.9994366765022278,1203.1987347185125,506.82341550020436,0.9715620875358582,1192.0934553493348,467.6805583125206,0.9534019231796264
5,1249.7779275987295,624.5826975317597,0.9999656677246094,1228.3021859323746,615.429961604045,0.9999862909317015,1186.3412667939613,583.4889962691523,0.9999942779541016,1264.9982784127606,547.564196582134,0.9997945427894592,1224.056758496842,506.65154931799293,0.9976089000701904,1212.187736148029,468.23470345836705,0.9282774925231934
6,1267.3779379044458,626.8691893454758,0.9999823570251464,1245.6185834199055,617.3479359838894,0.9999827146530152,1205.9093489585737,583.2183990230054,0.9999899864196776,1284.757781969828,549.0296365890507,0.999985694885254,1244.866219011157,506.49743580664284,0.9949992895126344,1232.2229265489414,468.7601589626934,0.77321457862854
7,1285.1993648244475,628.9870419604325,0.999986171722412,1263.1468042196875,619.1573742187068,0.9999874830245972,1225.5106468861175,583.0223641322349,0.9999914169311525,1304.5272804446156,550.3965425370776,0.9988993406295776,1265.5896487465552,506.3577022735715,0.9902061820030212,1252.1693729380297,469.24812395780947,0.9972763657569884
8,1303.2009430113744,630.9228921495132,0.9999650716781616,1280.8498959789467,620.8428755960554,0.9999831914901732,1245.1110345351065,582.8965817017539,0.9999914169311525,1324.2749394308862,551.6537561507455,0.9998966455459596,1286.1944289878732,506.2290286057153,0.4292784035205841,1272.0019992337889,469.69074233468535,0.9876104593276978
9,1321.3443500181088,632.6662697891786,0.9999902248382568,1298.6929901317965,622.3920301346279,0.9997096657752992,1264.679964161327,582.836597156381,0.9999959468841552,1343.9727575214877,552.7922925510996,0.9999333620071412,1306.6526930418206,506.10816574113073,0.9983878135681152,1291.7001354556132,470.08120859818763,0.9999117851257324
10,1339.5939828933915,634.2097143553846,0.9999836683273317,1316.6431340480406,623.7954667934729,0.9999598264694214,1284.1901997648583,582.8377370018012,0.9999825954437256,1363.596311304562,553.8054486607036,0.9998787641525269,1326.9411285490007,505.99194250872785,0.9998594522476196,1311.2472658168795,470.41384067457614,0.999903440475464
11,1357.9166147879243,635.548821007449,0.9999839067459106,1334.6690467206026,625.0468038896596,0.9999916553497314,1303.6174672562056,582.8950067404982,0.9999988079071044,1383.124419951716,554.6888529588165,0.9999727010726928,1347.0406974408145,505.8772612653945,0.9993740916252136,1330.6307128024189,470.6841184494702,0.9997506737709044
12,1376.2809749961507,636.6822160706128,0.9999966621398926,1352.7408343332972,626.1425081530135,0.9999922513961792,1322.9400530458404,583.0029712323081,0.9999885559082032,1402.5387574710421,555.440455623857,0.9998838901519777,1366.9362944151915,505.76108350385715,0.9995731711387634,1349.841275007499,470.8886881327746,0.9998860359191896
13,1394.6573004591269,637.6114638369203,0.999998927116394,1370.8297047247945,627.0816725290994,0.999994158744812,1342.1383847631098,583.1556296056131,0.999998927116394,1421.8234423020158,556.0604600512132,0.9998075366020204,1386.6163658334508,505.64040748302347,0.9140436053276062,1368.872836886744,471.025333988007,0.9996497631072998
14,1413.0169081733704,638.3409086599939,0.99999737739563,1388.9077196693793,627.8657261040207,0.9999949932098388,1361.1946277120792,583.3462979202643,0.9999997615814208,1440.9646336910162,556.5511987569819,0.9998111128807068,1406.0725106832658,505.5122408537356,0.4544433653354645,1387.7219680122523,471.0929204262163,0.9996355772018432
15,1431.3318360574874,638.8774582642237,0.9999939203262328,1406.9476209825611,628.4980922115417,0.9999972581863404,1380.0923285210597,583.567513069699,0.9999799728393556,1459.9501622621785,556.9169586602767,0.9995037317276,1425.2990838147145,505.3735720929311,0.5772629976272583,1406.3875280563916,471.09130882818783,0.9997636675834656
16,1449.5745946762297,639.2303159669343,0.9999880790710448,1424.9227608562849,628.9838127556351,0.9999704360961914,1398.8161333978587,583.8109708416982,0.9999957084655762,1478.7692185530402,557.1637625592678,0.9996126294136048,1444.2928192131683,505.22134518624017,0.1647940427064895,1424.8702916265152,471.0212545991997,0.9991447925567628
17,1467.7180640510053,639.4106710666987,0.999990701675415,1442.807158833603,629.3291579237728,0.9999713897705078,1417.3516027153787,584.0675096319744,0.99998939037323,1497.412118267743,557.2991151644864,0.9989803433418274,1463.0524878383362,505.05244229823626,0.0799080431461334,1443.172604444857,470.88429077019526,0.9872581362724304
18,1485.7355590248237,639.4313579226825,0.9999827146530152,1460.5756979114417,629.5412406938291,0.99987530708313,1435.685136650675,584.3271490649504,0.9999914169311525,1515.8701569255115,557.331723230385,0.999827206134796,1481.5786007636402,504.863679063897,0.1247759908437728,1461.2980793622207,470.6826048617917,0.9740119576454164
19,1503.6010739102899,639.3064951757532,0.9944939017295836,1478.2044610311098,629.627654806838,0.9991430044174194,1453.8040186782962,584.5791898118856,0.9999932050704956,1534.1355598095688,557.2712000660302,0.9948432445526124,1499.8731642318214,504.6518165975315,0.4853981435298919,1479.2513375019985,470.4189156895992,0.9888318777084352
20,1521.2897032153387,639.0511170776579,0.9988522529602052,1495.6711974277846,629.5961531930084,0.9999864101409912,1471.6965753214402,584.8123773446083,0.9999148845672609,1552.2015260493777,557.1277649777388,0.4286408126354217,1517.9394890452436,504.41359337150334,0.3985386788845062,1497.0377966366534,470.09635632257186,0.771202027797699
21,1538.7782210397825,638.6808089403834,0.9992918968200684,1512.9558968002013,629.4543812556273,0.999208390712738,1489.3524421763054,585.0151284042173,0.99966561794281,1570.0623587217522,556.9119480047976,0.9997875094413756,1535.7820526817711,504.14577883553545,0.7383171916007996,1514.6635058836375,469.7183685624814,0.9398120045661926
22,1556.0457882834694,638.2113582515974,0.9994969367980956,1530.04143889793,629.2096760491364,0.999996542930603,1506.7629183493782,585.1758148203703,0.9999868869781494,1587.7136664695465,556.6343096867167,0.9998599290847778,1553.4064089120184,503.8452491290897,0.9122851490974426,1532.1350231418899,469.2886131745733,0.9950243830680848
23,1573.0747451296015,637.6584320149415,0.9999747276306152,1546.9142777273516,628.8689384028235,0.9999942779541016,1523.9213845801148,585.2830952469795,0.999887228012085,1605.152616729594,556.3051845992338,0.9999351501464844,1570.8191367041852,503.50908360419476,0.9979038238525392,1549.459329518647,468.8108987682859,0.9998455047607422
24,1589.8514372946488,637.037289402232,0.9999675750732422,1563.565113840474,628.4385806594843,0.9999731779098512,1540.8237549173684,585.3262816669117,0.9999639987945556,1622.3782166008846,555.9344560802675,0.9998887777328492,1588.0278179968195,503.1346792499314,0.9986961483955384,1566.6437734212839,468.28913081005186,0.9987919926643372
